Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
TAJO,1,33.33,23.45,31.7,IBk,No sampling,No selection,Sensitive threshold,1705.0,428.0,391.0,60.0,0.7993436474449133,0.9660056657223796,0.7254705005413221,0.5041208175412574,
TAJO,2,50.0,28.95,28.35,IBk,No sampling,No selection,Sensitive threshold,2355.0,349.0,750.0,422.0,0.8709319526627219,0.8480374504861361,0.8529659824314048,0.5200397022970157,
TAJO,3,63.64,27.91,23.55,IBk,No sampling,No selection,Sensitive threshold,3751.0,329.0,888.0,200.0,0.9193627450980392,0.9493799038218173,0.9449628116988574,0.7048944478698728,
TAJO,4,75.0,26.66,20.99,IBk,No sampling,No selection,Sensitive threshold,4999.0,353.0,1003.0,105.0,0.9340433482810164,0.9794278996865203,0.9607107271987497,0.7708677701311223,
TAJO,output-mean,55.49,26.74,26.15,IBk,No sampling,No selection,Sensitive threshold,3202.5,364.75,758.0,196.75,0.8809204233716728,0.9357127299292133,0.8710275054675836,0.624980684459817,
TAJO,1,33.33,23.45,31.7,IBk,No sampling,No selection,Sensitive learning,1705.0,428.0,391.0,60.0,0.7993436474449133,0.9660056657223796,0.7217085715669285,0.5041208175412574,
TAJO,2,50.0,28.95,28.35,IBk,No sampling,No selection,Sensitive learning,2355.0,349.0,750.0,422.0,0.8709319526627219,0.8480374504861361,0.7652380155069443,0.5200397022970157,
TAJO,3,63.64,27.91,23.55,IBk,No sampling,No selection,Sensitive learning,3751.0,329.0,888.0,200.0,0.9193627450980392,0.9493799038218173,0.8395215049100869,0.7048944478698728,
TAJO,4,75.0,26.66,20.99,IBk,No sampling,No selection,Sensitive learning,4999.0,353.0,1003.0,105.0,0.9340433482810164,0.9794278996865203,0.8595517079553546,0.7708677701311223,
TAJO,output-mean,55.49,26.74,26.15,IBk,No sampling,No selection,Sensitive learning,3202.5,364.75,758.0,196.75,0.8809204233716728,0.9357127299292133,0.7965049499848286,0.624980684459817,
TAJO,1,43.36,50.0,50.0,IBk,Oversampling,No selection,No cost sensitive,1629.0,418.0,401.0,136.0,0.7957987298485588,0.9229461756373938,0.7067328013503651,0.45450707198648915,
TAJO,2,58.7,50.0,50.0,IBk,Oversampling,No selection,No cost sensitive,2200.0,269.0,830.0,577.0,0.8910490076954233,0.7922218221101909,0.8137947779154323,0.5047184046327639,
TAJO,3,71.62,50.0,50.0,IBk,Oversampling,No selection,No cost sensitive,3491.0,206.0,1011.0,460.0,0.9442791452529078,0.8835737787901797,0.9166717099589112,0.666198113308189,
