Index;Issue;IVersion;OVersion;AVersion;FixVersion
260;BOOKKEEPER-620;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
261;BOOKKEEPER-621;4.2.1;4.2.2;4.2.1;4.2.2;
262;BOOKKEEPER-623;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
263;BOOKKEEPER-624;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
264;BOOKKEEPER-625;4.2.1;4.2.2;4.2.1;4.2.2;
265;BOOKKEEPER-626;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
266;BOOKKEEPER-63;4.0.0;4.0.0;;4.0.0;
267;BOOKKEEPER-632;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
268;BOOKKEEPER-633;4.3.0;4.2.2;;4.3.0;
269;BOOKKEEPER-635;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
270;BOOKKEEPER-636;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
271;BOOKKEEPER-638;4.3.0;4.2.2;;4.3.0;
272;BOOKKEEPER-641;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
273;BOOKKEEPER-642;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
274;BOOKKEEPER-646;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
275;BOOKKEEPER-649;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
276;BOOKKEEPER-65;4.0.0;4.0.0;;4.0.0;
277;BOOKKEEPER-652;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
278;BOOKKEEPER-654;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
279;BOOKKEEPER-66;4.0.0;4.0.0;;4.0.0;
280;BOOKKEEPER-660;4.2.0;4.2.2;4.2.0, 4.2.1;4.2.2;
281;BOOKKEEPER-663;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
282;BOOKKEEPER-664;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
283;BOOKKEEPER-667;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
284;BOOKKEEPER-668;4.2.1;4.2.2;4.2.1, 4.2.2;4.3.0;
285;BOOKKEEPER-669;4.2.0;4.2.2;4.2.0, 4.2.1;4.2.2;
286;BOOKKEEPER-671;4.2.1;4.2.2;4.2.1, 4.2.2, 4.3.0, 4.2.3, 4.3.1, 4.3.2, 4.4.0, 4.5.0, 4.5.1;4.6.0;
287;BOOKKEEPER-673;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
288;BOOKKEEPER-676;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
289;BOOKKEEPER-678;4.2.0;4.2.2;4.2.0, 4.2.1, 4.2.2;4.3.0;
290;BOOKKEEPER-679;4.2.0;4.2.2;4.2.0, 4.2.1;4.2.2;
291;BOOKKEEPER-68;4.0.0;4.0.0;;4.0.0;
